,fiction_work,film_adaptations,title_book,author_book,year_book,title_film,year_film
352,"Beowulf(c. 700–1000 AD),unknown",Beowulf & Grendel(2005),Beowulf,unknown,,Beowulf & Grendel,2005
353,"Beowulf(c. 700–1000 AD),unknown",Beowulf(2007),Beowulf,unknown,,Beowulf,2007
354,"Berlin Alexanderplatz(1929),Alfred Döblin",Berlin — Alexanderplatz(1931),Berlin Alexanderplatz,Alfred Döblin,1929,Berlin — Alexanderplatz,1931
355,"Berlin Alexanderplatz(1929),Alfred Döblin",Berlin Alexanderplatz(2020),Berlin Alexanderplatz,Alfred Döblin,1929,Berlin Alexanderplatz,2020
356,"The Betsy(1971),Harold Robbins",The Betsy(1978),The Betsy,Harold Robbins,1971,The Betsy,1978
357,"Beyond the Forest: The Story of a Man and Woman Destroyed by Love(1948), Stuart D. Engstrand",Beyond the Forest(1949),Beyond the Forest: The Story of a Man and Woman Destroyed by Love, Stuart D. Engstrand,1948,Beyond the Forest,1949
358,"Beyond This Place(1953),A. J. Cronin",Sabar Uparey(1955),Beyond This Place,A. J. Cronin,1953,Sabar Uparey,1955
359,"Beyond This Place(1953),A. J. Cronin",Kala Pani(1958),Beyond This Place,A. J. Cronin,1953,Kala Pani,1958
360,"Beyond This Place(1953),A. J. Cronin",Beyond This Place(1959),Beyond This Place,A. J. Cronin,1953,Beyond This Place,1959
361,"Beyond This Place(1953),A. J. Cronin",Poola Rangadu(1967),Beyond This Place,A. J. Cronin,1953,Poola Rangadu,1967
362,"Beyond This Place(1953),A. J. Cronin",En Annan(1970),Beyond This Place,A. J. Cronin,1953,En Annan,1970
363,"The BFG(1982),Roald Dahl",The BFG(1989),The BFG,Roald Dahl,1982,The BFG,1989
364,"The BFG(1982),Roald Dahl",The BFG(2016),The BFG,Roald Dahl,1982,The BFG,2016
365,"Bhowani Junction(1954),John Masters",Bhowani Junction(1956),Bhowani Junction,John Masters,1954,Bhowani Junction,1956
366,"Bid Time Return(1975),Richard Matheson",Somewhere in Time(1980),Bid Time Return,Richard Matheson,1975,Somewhere in Time,1980
367,"The Bilingual Lover(Spanish:El amante bilingüe) (1990),Juan Marsé",The Bilingual Lover(1993),The Bilingual Lover,Juan Marsé,1990,The Bilingual Lover,1993
368,"The Big Bounce(written 1966, published 1969),Elmore Leonard",The Big Bounce(1969),The Big Bounce,Elmore Leonard,,The Big Bounce,1969
369,"The Big Bounce(written 1966, published 1969),Elmore Leonard",The Big Bounce(2004),The Big Bounce,Elmore Leonard,,The Big Bounce,2004
370,"The Big Clock(1946),Kenneth Fearing",The Big Clock(1948),The Big Clock,Kenneth Fearing,1946,The Big Clock,1948
371,"The Big Clock(1946),Kenneth Fearing",No Way Out(1987),The Big Clock,Kenneth Fearing,1946,No Way Out,1987
372,"Big Fish: A Novel of Mythic Proportions(1998),Daniel Wallace",Big Fish(2003),Big Fish: A Novel of Mythic Proportions,Daniel Wallace,1998,Big Fish,2003
373,"The Big Fisherman(1948),Lloyd C. Douglas",The Big Fisherman(1959),The Big Fisherman,Lloyd C. Douglas,1948,The Big Fisherman,1959
374,"The Big Heat(1952),William P. McGivern",The Big Heat(1953),The Big Heat,William P. McGivern,1952,The Big Heat,1953
375,"Big Red(1945),Jim Kjelgaard",Big Red(1962),Big Red,Jim Kjelgaard,1945,Big Red,1962
376,"The Big Sleep(1939),Raymond Chandler",The Big Sleep(1946),The Big Sleep,Raymond Chandler,1939,The Big Sleep,1946
377,"The Big Sleep(1939),Raymond Chandler",The Big Sleep(1978),The Big Sleep,Raymond Chandler,1939,The Big Sleep,1978
378,"Big Trouble(1999),Dave Barry",Big Trouble(2002),Big Trouble,Dave Barry,1999,Big Trouble,2002
379,"Biggles(1932–1968) (series),W. E. Johns",Biggles: Adventures in Time(1986),Biggles,W. E. Johns,1932–1968,Biggles: Adventures in Time,1986
380,"Billion-Dollar Brain(1966),Len Deighton",Billion Dollar Brain(1967),Billion-Dollar Brain,Len Deighton,1966,Billion Dollar Brain,1967
381,"Billy Bathgate(1989),E. L. Doctorow",Billy Bathgate(1991),Billy Bathgate,E. L. Doctorow,1989,Billy Bathgate,1991
382,"Billy Liar(1969),Keith Waterhouse",Billy Liar(1963),Billy Liar,Keith Waterhouse,1969,Billy Liar,1963
383,"Birdy(1978),William Wharton",Birdy(1984),Birdy,William Wharton,1978,Birdy,1984
384,"The Bishop's Wife(1928),Robert Nathan",The Bishop's Wife(1947),The Bishop's Wife,Robert Nathan,1928,The Bishop's Wife,1947
385,"The Bishop's Wife(1928),Robert Nathan",The Preacher's Wife(1996),The Bishop's Wife,Robert Nathan,1928,The Preacher's Wife,1996
386,"The Bitch(1979),Jackie Collins",The Bitch(1979),The Bitch,Jackie Collins,1979,The Bitch,1979
387,"Bitter Moon(French:Lunes de fiel) (1981),Pascal Bruckner",Bitter Moon(1992),Bitter Moon,Pascal Bruckner,1981,Bitter Moon,1992
388,"The Bitter Tea of General Yen(1932),Grace Zaring Stone",The Bitter Tea of General Yen(1933),The Bitter Tea of General Yen,Grace Zaring Stone,1932,The Bitter Tea of General Yen,1933
389,"Black Alibi(1942),Cornell Woolrich",The Leopard Man(1943),Black Alibi,Cornell Woolrich,1942,The Leopard Man,1943
390,"The Black Angel(1943),Cornell Woolrich",Black Angel(1946),The Black Angel,Cornell Woolrich,1943,Black Angel,1946
391,"The Black Arrow: A Tale of the Two Roses(1888),Robert Louis Stevenson",The Black Arrow(1911),The Black Arrow: A Tale of the Two Roses,Robert Louis Stevenson,1888,The Black Arrow,1911
392,"The Black Arrow: A Tale of the Two Roses(1888),Robert Louis Stevenson",The Black Arrow(1943),The Black Arrow: A Tale of the Two Roses,Robert Louis Stevenson,1888,The Black Arrow,1943
393,"The Black Arrow: A Tale of the Two Roses(1888),Robert Louis Stevenson",Black Arrow(1985)[N 1],The Black Arrow: A Tale of the Two Roses,Robert Louis Stevenson,1888,Black Arrow,1985
394,"The Black Arrow: A Tale of the Two Roses(1888),Robert Louis Stevenson",The Black Arrow(Russian:Чёрная стрела) (1987),The Black Arrow: A Tale of the Two Roses,Robert Louis Stevenson,1888,The Black Arrow,1987
395,"The Black Arrow: A Tale of the Two Roses(1888),Robert Louis Stevenson",The Black Arrow(1988)[N 1],The Black Arrow: A Tale of the Two Roses,Robert Louis Stevenson,1888,The Black Arrow,1988
396,"Black Beauty(1877),Anna Sewell",Your Obedient Servant(1917),Black Beauty,Anna Sewell,1877,Your Obedient Servant,1917
397,"Black Beauty(1877),Anna Sewell",Black Beauty(1921),Black Beauty,Anna Sewell,1877,Black Beauty,1921
398,"Black Beauty(1877),Anna Sewell",Black Beauty(1933),Black Beauty,Anna Sewell,1877,Black Beauty,1933
399,"Black Beauty(1877),Anna Sewell",Black Beauty(1946),Black Beauty,Anna Sewell,1877,Black Beauty,1946
400,"Black Beauty(1877),Anna Sewell",Courage of Black Beauty(1958),Black Beauty,Anna Sewell,1877,Courage of Black Beauty,1958
401,"Black Beauty(1877),Anna Sewell",Black Beauty(1971),Black Beauty,Anna Sewell,1877,Black Beauty,1971
402,"Black Beauty(1877),Anna Sewell",Black Beauty(1987)[N 1],Black Beauty,Anna Sewell,1877,Black Beauty,1987
403,"Black Beauty(1877),Anna Sewell",Black Beauty(1994),Black Beauty,Anna Sewell,1877,Black Beauty,1994
404,"Black Beauty(1877),Anna Sewell",Black Beauty(1995)[N 4],Black Beauty,Anna Sewell,1877,Black Beauty,1995
405,"Black Beauty(1877),Anna Sewell",Black Beauty(2020),Black Beauty,Anna Sewell,1877,Black Beauty,2020
406,"The Black Camel(1929),Earl Derr Biggers",The Black Camel(1931),The Black Camel,Earl Derr Biggers,1929,The Black Camel,1931
407,"The Black Curtain(1941),Cornell Woolrich",Street of Chance(1942),The Black Curtain,Cornell Woolrich,1941,Street of Chance,1942
408,"The Black Dahlia(1987),James Ellroy",The Black Dahlia(2006),The Black Dahlia,James Ellroy,1987,The Black Dahlia,2006
409,"Black Narcissus(1939),Rumer Godden",Black Narcissus(1947),Black Narcissus,Rumer Godden,1939,Black Narcissus,1947
410,"The Black Path of Fear(1944),Cornell Woolrich",The Chase(1946),The Black Path of Fear,Cornell Woolrich,1944,The Chase,1946
411,"Black Rain(黒い雨,Kuroi Ame)(1965),Masuji Ibuse",Black Rain(1989),Black Rain,Masuji Ibuse,1965,Black Rain,1989
412,"The Black Rose(1945),Thomas B. Costain",The Black Rose(1950),The Black Rose,Thomas B. Costain,1945,The Black Rose,1950
413,"The Black Stallion(1941–1989) (series)[N 10],Walter Farley",The Black Stallion(1979),The Black Stallion,Walter Farley,1941–1989,The Black Stallion,1979
414,"The Black Stallion(1941–1989) (series)[N 10],Walter Farley",The Black Stallion Returns(1983),The Black Stallion,Walter Farley,1941–1989,The Black Stallion Returns,1983
415,"The Black Stallion(1941–1989) (series)[N 10],Walter Farley",The Young Black Stallion(2003),The Black Stallion,Walter Farley,1941–1989,The Young Black Stallion,2003
416,"Black Sunday(1971),Thomas Harris",Black Sunday(1977),Black Sunday,Thomas Harris,1971,Black Sunday,1977
417,"The Blackboard Jungle(1954),Evan Hunter",Blackboard Jungle(1955),The Blackboard Jungle,Evan Hunter,1954,Blackboard Jungle,1955
418,"Blackbeard's Ghost(1965),Ben Stahl",Blackbeard's Ghost(1968),Blackbeard's Ghost,Ben Stahl,1965,Blackbeard's Ghost,1968
419,"The Blank Wall(1947),Elisabeth Sanxay Holding",The Reckless Moment(1949),The Blank Wall,Elisabeth Sanxay Holding,1947,The Reckless Moment,1949
420,"The Blank Wall(1947),Elisabeth Sanxay Holding",The Deep End(2001),The Blank Wall,Elisabeth Sanxay Holding,1947,The Deep End,2001
421,"Blaze of Noon(1946),Ernest K. Gann",Blaze of Noon(1947),Blaze of Noon,Ernest K. Gann,1946,Blaze of Noon,1947
422,"Le Blé en herbe(1923),Colette",Le Blé en herbe(1954),Le Blé en herbe,Colette,1923,Le Blé en herbe,1954
423,"Le Blé en herbe(1923),Colette",Le Blé en herbe(1990) (TV),Le Blé en herbe,Colette,1923,Le Blé en herbe,1990
424,"Bleak House(serialised 1852–1853, published as a book 1853),Charles Dickens",Bleak House(1920),Bleak House,Charles Dickens,,Bleak House,1920
425,"Bleak House(serialised 1852–1853, published as a book 1853),Charles Dickens",Bleak House(1922),Bleak House,Charles Dickens,,Bleak House,1922
426,"Bless the Beasts and Children(1970),Glendon Swarthout",Bless the Beasts & Children(1971),Bless the Beasts and Children,Glendon Swarthout,1970,Bless the Beasts & Children,1971
427,"Bless the Child(1993), Cathy Cash Spellman",Bless the Child(2000),Bless the Child, Cathy Cash Spellman,1993,Bless the Child,2000
428,"The Blessing(1951),Nancy Mitford",Count Your Blessings(1959),The Blessing,Nancy Mitford,1951,Count Your Blessings,1959
429,"Blood and Chocolate(1997),Annette Curtis Klause",Blood & Chocolate(2007),Blood and Chocolate,Annette Curtis Klause,1997,Blood & Chocolate,2007
430,"Blood and Sand(Spanish:Sangre y arena) (1909),Vicente Blasco Ibáñez",Blood and Sand(1916),Blood and Sand,Vicente Blasco Ibáñez,1909,Blood and Sand,1916
431,"Blood and Sand(Spanish:Sangre y arena) (1909),Vicente Blasco Ibáñez",Blood and Sand(1922),Blood and Sand,Vicente Blasco Ibáñez,1909,Blood and Sand,1922
432,"Blood and Sand(Spanish:Sangre y arena) (1909),Vicente Blasco Ibáñez",Blood and Sand(1941),Blood and Sand,Vicente Blasco Ibáñez,1909,Blood and Sand,1941
433,"Blood and Sand(Spanish:Sangre y arena) (1909),Vicente Blasco Ibáñez",Blood and Sand(1989),Blood and Sand,Vicente Blasco Ibáñez,1909,Blood and Sand,1989
434,"Blood Brother(1947),Elliott Arnold",Broken Arrow(1950),Blood Brother,Elliott Arnold,1947,Broken Arrow,1950
435,"Blood on the Moon(1941) (a.k.a.Gunman's Chance),Luke Short",Blood on the Moon(1948),Blood on the Moon,Luke Short,1941,Blood on the Moon,1948
436,"Blood on the Moon(1984),James Ellroy",Cop(1988),Blood on the Moon,James Ellroy,1984,Cop,1988
437,"The Blood Oranges(1970),John Hawkes",The Blood Oranges(1997),The Blood Oranges,John Hawkes,1970,The Blood Oranges,1997
438,"Blood Red Rivers(French:Les rivières pourpres) (1997),Jean-Christophe Grangé",The Crimson Rivers(2000),Blood Red Rivers,Jean-Christophe Grangé,1997,The Crimson Rivers,2000
439,"Blood Red Rivers(French:Les rivières pourpres) (1997),Jean-Christophe Grangé",Crimson Rivers II: Angels of the Apocalypse(French:Les rivières pourpres II: Les anges de l'apocalypse) (2004),Blood Red Rivers,Jean-Christophe Grangé,1997,Crimson Rivers II: Angels of the Apocalypse,2004
440,"Blood Work(1998),Michael Connelly",Blood Work(2002),Blood Work,Michael Connelly,1998,Blood Work,2002
441,"Blue Boy(French:Jean le Bleu) (1932),Jean Giono",The Baker's Wife(French:La femme du boulanger) (1938),Blue Boy,Jean Giono,1932,The Baker's Wife,1938
442,"Blue Fin(1969),Colin Thiele",Blue Fin(1978),Blue Fin,Colin Thiele,1969,Blue Fin,1978
443,"The Blue Lagoon(1908),Henry De Vere Stacpoole",The Blue Lagoon(1923),The Blue Lagoon,Henry De Vere Stacpoole,1908,The Blue Lagoon,1923
444,"The Blue Lagoon(1908),Henry De Vere Stacpoole",The Blue Lagoon(1949),The Blue Lagoon,Henry De Vere Stacpoole,1908,The Blue Lagoon,1949
445,"The Blue Lagoon(1908),Henry De Vere Stacpoole",The Blue Lagoon(1980),The Blue Lagoon,Henry De Vere Stacpoole,1908,The Blue Lagoon,1980
446,"The Blue Room(French:La Chambre bleue) (1964),Georges Simenon",The Blue Room(Spanish:La habitación azul) (2002),The Blue Room,Georges Simenon,1964,The Blue Room,2002
447,"Blueprint(German:Blaupause) (1999), Charlotte Kerner",Blueprint(2003),Blueprint, Charlotte Kerner,1999,Blueprint,2003
448,"The Body(1983),Richard Sapir",The Body(2001),The Body,Richard Sapir,1983,The Body,2001
449,"The Body Snatchers(1955),Jack Finney",Invasion of the Body Snatchers(1956),The Body Snatchers,Jack Finney,1955,Invasion of the Body Snatchers,1956
450,"The Body Snatchers(1955),Jack Finney",Invasion of the Body Snatchers(1978),The Body Snatchers,Jack Finney,1955,Invasion of the Body Snatchers,1978
451,"The Body Snatchers(1955),Jack Finney",Body Snatchers(1993),The Body Snatchers,Jack Finney,1955,Body Snatchers,1993
452,"The Body Snatchers(1955),Jack Finney",The Invasion(2007),The Body Snatchers,Jack Finney,1955,The Invasion,2007
453,"The Body Snatchers(1955),Jack Finney",Invasion of the Pod People(2007)[N 4],The Body Snatchers,Jack Finney,1955,Invasion of the Pod People,2007
454,"Bomba, the Jungle Boy(1926),Roy Rockwood","Bomba, the Jungle Boy(1949)","Bomba, the Jungle Boy",Roy Rockwood,1926,"Bomba, the Jungle Boy",1949
455,"The Bonfire of the Vanities(1987),Tom Wolfe",The Bonfire of the Vanities(1990),The Bonfire of the Vanities,Tom Wolfe,1987,The Bonfire of the Vanities,1990
456,"Bonjour Tristesse(Hello Sadness) (1954),Françoise Sagan",Bonjour Tristesse(1958),Bonjour Tristesse,Françoise Sagan,1954,Bonjour Tristesse,1958
457,"Boogiepop and Others(1998),Kouhei Kadono",Boogiepop and Others(2000),Boogiepop and Others,Kouhei Kadono,1998,Boogiepop and Others,2000
458,"The Book of Daniel(1971),E. L. Doctorow",Daniel(1983),The Book of Daniel,E. L. Doctorow,1971,Daniel,1983
459,"The Boat(German:Das Boot) (1973),Lothar-Günther Buchheim",Das Boot(The Boat) (1981),The Boat,Lothar-Günther Buchheim,1973,Das Boot,1981
460,"The Border Jumpers(1955), Will C. Brown",Man of the West(1958),The Border Jumpers, Will C. Brown,1955,Man of the West,1958
461,"The Border Legion(1916),Zane Grey",The Border Legion(1924),The Border Legion,Zane Grey,1916,The Border Legion,1924
462,"The Border Legion(1916),Zane Grey",The Last Round-Up(1934),The Border Legion,Zane Grey,1916,The Last Round-Up,1934
463,"Border Town(1934), Carroll Graham",Bordertown(1935),Border Town, Carroll Graham,1934,Bordertown,1935
464,"The Borrowers(1952),Mary Norton",The Borrowers(1973)[N 1],The Borrowers,Mary Norton,1952,The Borrowers,1973
465,"The Borrowers(1952),Mary Norton",The Borrowers(1997),The Borrowers,Mary Norton,1952,The Borrowers,1997
466,"The Borrowers(1952),Mary Norton",Arrietty(2010),The Borrowers,Mary Norton,1952,Arrietty,2010
467,"The Bostonians(serialised 1885–1886, published as a book 1886),Henry James",The Bostonians(1984),The Bostonians,Henry James,,The Bostonians,1984
468,"Botchan(Japanese:坊っちゃん) (1906),Natsume Sōseki",Botchan(1935),Botchan,Natsume Sōseki,1906,Botchan,1935
469,"Botchan(Japanese:坊っちゃん) (1906),Natsume Sōseki",Botchan(1953),Botchan,Natsume Sōseki,1906,Botchan,1953
470,"Botchan(Japanese:坊っちゃん) (1906),Natsume Sōseki",Botchan(1958),Botchan,Natsume Sōseki,1906,Botchan,1958
471,"Botchan(Japanese:坊っちゃん) (1906),Natsume Sōseki",Botchan(1966),Botchan,Natsume Sōseki,1906,Botchan,1966
472,"Botchan(Japanese:坊っちゃん) (1906),Natsume Sōseki",Botchan(1977),Botchan,Natsume Sōseki,1906,Botchan,1977
473,"Botchan(Japanese:坊っちゃん) (1906),Natsume Sōseki",Botchan(1980)[N 1],Botchan,Natsume Sōseki,1906,Botchan,1980
474,"Bourne(1980–2012) (series)[N 11],Robert LudlumandEric Van Lustbader",The Bourne Identity(1988)[N 1],Bourne,Robert LudlumandEric Van Lustbader,1980–2012,The Bourne Identity,1988
475,"Bourne(1980–2012) (series)[N 11],Robert LudlumandEric Van Lustbader",The Bourne Identity(2002),Bourne,Robert LudlumandEric Van Lustbader,1980–2012,The Bourne Identity,2002
476,"Bourne(1980–2012) (series)[N 11],Robert LudlumandEric Van Lustbader",The Bourne Supremacy(2004),Bourne,Robert LudlumandEric Van Lustbader,1980–2012,The Bourne Supremacy,2004
477,"Bourne(1980–2012) (series)[N 11],Robert LudlumandEric Van Lustbader",The Bourne Ultimatum(2007),Bourne,Robert LudlumandEric Van Lustbader,1980–2012,The Bourne Ultimatum,2007
478,"Bourne(1980–2012) (series)[N 11],Robert LudlumandEric Van Lustbader",The Bourne Legacy(2012),Bourne,Robert LudlumandEric Van Lustbader,1980–2012,The Bourne Legacy,2012
479,"Bourne(1980–2012) (series)[N 11],Robert LudlumandEric Van Lustbader",Jason Bourne(2016),Bourne,Robert LudlumandEric Van Lustbader,1980–2012,Jason Bourne,2016
480,"The Boy in the Striped Pyjamas(2006),John Boyne",The Boy in the Striped Pyjamas(2008),The Boy in the Striped Pyjamas,John Boyne,2006,The Boy in the Striped Pyjamas,2008
481,"Boy on a Dolphin(1955),David Divine",Boy on a Dolphin(1957),Boy on a Dolphin,David Divine,1955,Boy on a Dolphin,1957
482,"The Boys from Brazil(1976),Ira Levin",The Boys from Brazil(1978),The Boys from Brazil,Ira Levin,1976,The Boys from Brazil,1978
483,"The Bravados(1958),Frank O'Rourke",The Bravados(1958),The Bravados,Frank O'Rourke,1958,The Bravados,1958
484,"The Brave Bulls(1949),Thomas C. Lea III",The Brave Bulls(1951),The Brave Bulls,Thomas C. Lea III,1949,The Brave Bulls,1951
485,"The Brave Cowboy(1956),Edward Abbey",Lonely Are the Brave(1962),The Brave Cowboy,Edward Abbey,1956,Lonely Are the Brave,1962
486,"The Brave Little Toaster(1986),Thomas M. Disch",The Brave Little Toaster(1987),The Brave Little Toaster,Thomas M. Disch,1986,The Brave Little Toaster,1987
487,"The Brave Little Toaster(1986),Thomas M. Disch",The Brave Little Toaster to the Rescue(1997)[N 4],The Brave Little Toaster,Thomas M. Disch,1986,The Brave Little Toaster to the Rescue,1997
488,"The Brave Little Toaster(1986),Thomas M. Disch",The Brave Little Toaster Goes to Mars(1998)[N 4],The Brave Little Toaster,Thomas M. Disch,1986,The Brave Little Toaster Goes to Mars,1998
489,"The Brave Little Toaster Goes to Mars(1988), Thomas M. Disch",same as above,The Brave Little Toaster Goes to Mars, Thomas M. Disch,1988,same as above,
490,"Brave New World(1932),Aldous Huxley",Brave New World(1980)[N 1],Brave New World,Aldous Huxley,1932,Brave New World,1980
491,"Brave New World(1932),Aldous Huxley",Brave New World(1998)[N 1],Brave New World,Aldous Huxley,1932,Brave New World,1998
492,"Breakfast of Champions(1973),Kurt Vonnegut, Jr.",Breakfast of Champions(1999),Breakfast of Champions, Jr.,1973,Breakfast of Champions,1999
493,"Breakfast on Pluto(1998),Patrick McCabe",Breakfast on Pluto(2005),Breakfast on Pluto,Patrick McCabe,1998,Breakfast on Pluto,2005
494,"Breakfast with Scot(1999), Michael Downing",Breakfast with Scot(2007),Breakfast with Scot, Michael Downing,1999,Breakfast with Scot,2007
495,"Breakheart Pass(1974),Alistair MacLean",Breakheart Pass(1975),Breakheart Pass,Alistair MacLean,1974,Breakheart Pass,1975
496,"Breaking Smith's Quarter Horse(1966),Paul St. Pierre",Smith!(1969),Breaking Smith's Quarter Horse,Paul St. Pierre,1966,Smith!,1969
497,"The Bride Wore Black(1940),Cornell Woolrich",The Bride Wore Black(1967),The Bride Wore Black,Cornell Woolrich,1940,The Bride Wore Black,1967
498,"Brideshead Revisited, The Sacred & Profane Memories of Captain Charles Ryder(1945),Evelyn Waugh",Brideshead Revisited(2008),"Brideshead Revisited, The Sacred & Profane Memories of Captain Charles Ryder",Evelyn Waugh,1945,Brideshead Revisited,2008
499,"The Bridge of San Luis Rey(1927),Thornton Wilder",The Bridge of San Luis Rey(1929),The Bridge of San Luis Rey,Thornton Wilder,1927,The Bridge of San Luis Rey,1929
500,"The Bridge of San Luis Rey(1927),Thornton Wilder",The Bridge of San Luis Rey(1944),The Bridge of San Luis Rey,Thornton Wilder,1927,The Bridge of San Luis Rey,1944
501,"The Bridge of San Luis Rey(1927),Thornton Wilder",The Bridge of San Luis Rey(2004),The Bridge of San Luis Rey,Thornton Wilder,1927,The Bridge of San Luis Rey,2004
502,"The Bridge over the River Kwai(French:Le Pont de la rivière Kwaï) (1952),Pierre Boulle",The Bridge on the River Kwai(1957),The Bridge over the River Kwai,Pierre Boulle,1952,The Bridge on the River Kwai,1957
503,"Bridge to Terabithia(1977),Katherine Paterson",Bridge to Terabithia(1985)[N 1],Bridge to Terabithia,Katherine Paterson,1977,Bridge to Terabithia,1985
504,"Bridge to Terabithia(1977),Katherine Paterson",Bridge to Terabithia(2007),Bridge to Terabithia,Katherine Paterson,1977,Bridge to Terabithia,2007
505,"The Bridges at Toko-Ri(1953),James A. Michener",The Bridges at Toko-Ri(1953),The Bridges at Toko-Ri,James A. Michener,1953,The Bridges at Toko-Ri,1953
506,"The Bridges of Madison County(a. k. a.Love in Black and White) (1992),Robert James Waller",The Bridges of Madison County(1995),The Bridges of Madison County,Robert James Waller,1992,The Bridges of Madison County,1995
507,"Bridget Jones(1996–2016) (series)[N 12],Helen Fielding",Bridget Jones's Diary(2001),Bridget Jones,Helen Fielding,1996–2016,Bridget Jones's Diary,2001
508,"Bridget Jones(1996–2016) (series)[N 12],Helen Fielding",Bridget Jones: The Edge of Reason(2004),Bridget Jones,Helen Fielding,1996–2016,Bridget Jones: The Edge of Reason,2004
509,"Bridget Jones(1996–2016) (series)[N 12],Helen Fielding",Bridget Jones's Baby(2016),Bridget Jones,Helen Fielding,1996–2016,Bridget Jones's Baby,2016
510,"Bright Lights, Big City(1984),Jay McInerney","Bright Lights, Big City(1988)","Bright Lights, Big City",Jay McInerney,1984,"Bright Lights, Big City",1988
511,"Brighton Rock(1938),Graham Greene",Brighton Rock(1948),Brighton Rock,Graham Greene,1938,Brighton Rock,1948
512,"Brighton Rock(1938),Graham Greene",Brighton Rock(2010),Brighton Rock,Graham Greene,1938,Brighton Rock,2010
513,"Bringing Out the Dead(1998),Joe Connelly",Bringing Out the Dead(1999),Bringing Out the Dead,Joe Connelly,1998,Bringing Out the Dead,1999
514,"Broken April(1978),Ismail Kadare",Abril Despedaçado(Behind the Sun) (2001),Broken April,Ismail Kadare,1978,Abril Despedaçado,2001
515,"Brothers by Blood(Norwegian:Brødre i Blodet) (1996),Ingvar Ambjørnsen",Elling(2001),Brothers by Blood,Ingvar Ambjørnsen,1996,Elling,2001
516,"Brothers by Blood(Norwegian:Brødre i Blodet) (1996),Ingvar Ambjørnsen",Mors Elling(2003),Brothers by Blood,Ingvar Ambjørnsen,1996,Mors Elling,2003
517,"Brothers by Blood(Norwegian:Brødre i Blodet) (1996),Ingvar Ambjørnsen",Elsk meg i morgen(2005),Brothers by Blood,Ingvar Ambjørnsen,1996,Elsk meg i morgen,2005
518,"Brothers in Law(1955),Henry Cecil",Brothers in Law(1957),Brothers in Law,Henry Cecil,1955,Brothers in Law,1957
519,"The Brothers Karamazov(Russian:Братья Карамазовы,Brat'ya Karamazovy) (1880),Fyodor Dostoyevsky",The Brothers Karamazov(1958),The Brothers Karamazov,Fyodor Dostoyevsky,1880,The Brothers Karamazov,1958
520,"The Brothers Karamazov(Russian:Братья Карамазовы,Brat'ya Karamazovy) (1880),Fyodor Dostoyevsky",The Brothers Karamazov(1969),The Brothers Karamazov,Fyodor Dostoyevsky,1880,The Brothers Karamazov,1969
521,"Brown's Requiem(1981),James Ellroy",Brown's Requiem(1998),Brown's Requiem,James Ellroy,1981,Brown's Requiem,1998
522,"Buddwing(1964),Evan Hunter",Mister Buddwing(1966),Buddwing,Evan Hunter,1964,Mister Buddwing,1966
523,"Buffalo Girls(1990),Larry McMurtry",Buffalo Girls(1995) (TV) (mini),Buffalo Girls,Larry McMurtry,1990,Buffalo Girls,1995
524,"Buffalo Soldiers(1993),Robert O'Connor",Buffalo Soldiers(2003),Buffalo Soldiers,Robert O'Connor,1993,Buffalo Soldiers,2003
525,"Bump in the Night(1988),Isabelle Holland",Bump in the Night(1991)[N 1],Bump in the Night,Isabelle Holland,1988,Bump in the Night,1991
526,"The Burglar in the Closet(1978),Lawrence Block",Burglar(1987),The Burglar in the Closet,Lawrence Block,1978,Burglar,1987
527,"The Burmese Harp(Japanese:ビルマの竪琴,Biruma no tategoto) (1946),Michio Takeyama",The Burmese Harp(1956),The Burmese Harp,Michio Takeyama,1946,The Burmese Harp,1956
528,"The Burmese Harp(Japanese:ビルマの竪琴,Biruma no tategoto) (1946),Michio Takeyama",The Burmese Harp(1985),The Burmese Harp,Michio Takeyama,1946,The Burmese Harp,1985
529,"The Burning Hills(1956),Louis L'Amour",The Burning Hills(1956),The Burning Hills,Louis L'Amour,1956,The Burning Hills,1956
530,"The Burning Shore(1985),Wilbur Smith",Burning Shore(1991),The Burning Shore,Wilbur Smith,1985,Burning Shore,1991
531,"Burton and Speke(1982),William Harrison",Mountains of the Moon(1990),Burton and Speke,William Harrison,1982,Mountains of the Moon,1990
532,"The Busy Body(1966),Donald E. Westlake",The Busy Body(1967),The Busy Body,Donald E. Westlake,1966,The Busy Body,1967
533,"But Gentlemen Marry Brunettes(1927),Anita Loos",Gentlemen Marry Brunettes(1955),But Gentlemen Marry Brunettes,Anita Loos,1927,Gentlemen Marry Brunettes,1955
534,"BUtterfield 8(1935),John O'Hara",BUtterfield 8(1960),BUtterfield 8,John O'Hara,1935,BUtterfield 8,1960
535,"By the Great Horn Spoon!(1963),Sid Fleischman",The Adventures of Bullwhip Griffin(1967),By the Great Horn Spoon!,Sid Fleischman,1963,The Adventures of Bullwhip Griffin,1967
537,"The Caine Mutiny(1952),Herman Wouk",The Caine Mutiny(1954),The Caine Mutiny,Herman Wouk,1952,The Caine Mutiny,1954
538,"The Caine Mutiny(1952),Herman Wouk",The Caine Mutiny Court-Martial(1955)[N 1],The Caine Mutiny,Herman Wouk,1952,The Caine Mutiny Court-Martial,1955
539,"The Caine Mutiny(1952),Herman Wouk",The Caine Mutiny Court-Martial(1988)[N 1],The Caine Mutiny,Herman Wouk,1952,The Caine Mutiny Court-Martial,1988
