,title_book,author_book,year_book,title_film,year_film
782,The Holcroft Covenant,Robert Ludlum,1978,The Holcroft Covenant,1985
783,The Holy Innocents,Gilbert Adair,1988,The Dreamers,2003
784,Hombre,Elmore Leonard,1961,Hombre,1967
785,The Home and the World,Rabindranath Tagore,1916,Ghare Baire,1984
786,The Honorary Consul,Graham Greene,1973,The Honorary Consul,1983
787,Hopalong Cassidy,Clarence E. Mulford,1906,The Orphan,1920
788,Hopalong Cassidy,Clarence E. Mulford,1906,The Deadwood Coach,1924
789,Hopalong Cassidy,Clarence E. Mulford,1906,Hop-Along Cassidy,1935
790,Hopalong Cassidy,Clarence E. Mulford,1906,The Eagle's Brood,1935
791,Hopalong Cassidy,Clarence E. Mulford,1906,Call of the Prairie,1936
792,Hopalong Cassidy,Clarence E. Mulford,1906,Three on the Trail,1936
793,Hopalong Cassidy,Clarence E. Mulford,1906,Heart of the West,1936
794,Hopalong Cassidy,Clarence E. Mulford,1906,Trail Dust,1936
795,Hopalong Cassidy,Clarence E. Mulford,1906,Hills of Old Wyoming,1937
796,Hopalong Cassidy,Clarence E. Mulford,1906,North of the Rio Grande,1937
797,Hopalong Cassidy,Clarence E. Mulford,1906,Rustlers' Valley,1937
798,Hopalong Cassidy,Clarence E. Mulford,1906,Hopalong Rides Again,1937
799,Hopalong Cassidy,Clarence E. Mulford,1906,Texas Trail,1937
800,Hopalong Cassidy,Clarence E. Mulford,1906,Partners of the Plains,1938
801,Hopalong Cassidy,Clarence E. Mulford,1906,Heart of Arizona,1938
802,Hopalong Cassidy,Clarence E. Mulford,1906,Bar 20 Justice,1938
803,Hopalong Cassidy,Clarence E. Mulford,1906,In Old Mexico,1938
804,Hopalong Cassidy,Clarence E. Mulford,1906,Silver on the Sage,1939
805,Hopalong Cassidy,Clarence E. Mulford,1906,Stick to Your Guns,1941
806,Hopalong Cassidy,Clarence E. Mulford,1906,Hoppy Serves a Writ,1943
807,Hopalong Cassidy,Clarence E. Mulford,1906,Bar 20,1943
808,"Horseman, Pass By",Larry McMurtry,1961,Hud,1963
809,The Host,Stephenie Meyer,2008,The Host,2013
810,The Hot Rock,Donald E. Westlake,1970,The Hot Rock,1972
811,The Hound of Florence,Felix Salten,1923,The Shaggy Dog,1959
812,The Hound of Florence,Felix Salten,1923,The Shaggy D.A.,1976
813,The Hound of Florence,Felix Salten,1923,The Return of the Shaggy Dog,1987
814,The Hound of Florence,Felix Salten,1923,The Shaggy Dog,1994
815,The Hound of Florence,Felix Salten,1923,The Shaggy Dog,2006
816,The Hound of the Baskervilles,Arthur Conan Doyle,1901,The Hound of the Baskervilles,1914
817,The Hound of the Baskervilles,Arthur Conan Doyle,1901,The Hound of the Baskervilles,1921
818,The Hound of the Baskervilles,Arthur Conan Doyle,1901,The Hound of the Baskervilles,1929
819,The Hound of the Baskervilles,Arthur Conan Doyle,1901,The Hound of the Baskervilles,1932
820,The Hound of the Baskervilles,Arthur Conan Doyle,1901,The Hound of the Baskervilles,1937
821,The Hound of the Baskervilles,Arthur Conan Doyle,1901,The Hound of the Baskervilles,1939
822,The Hound of the Baskervilles,Arthur Conan Doyle,1901,Jighansa,1951
823,The Hound of the Baskervilles,Arthur Conan Doyle,1901,The Hound of the Baskervilles,1959
824,The Hound of the Baskervilles,Arthur Conan Doyle,1901,Bees Saal Baad,1962
825,The Hound of the Baskervilles,Arthur Conan Doyle,1901,The Hound of the Baskervilles,1972
826,The Hound of the Baskervilles,Arthur Conan Doyle,1901,The Hound of the Baskervilles,1978
827,The Hound of the Baskervilles,Arthur Conan Doyle,1901,The Hound of the Baskervilles,1981
828,The Hound of the Baskervilles,Arthur Conan Doyle,1901,Sherlock Holmes and the Baskerville Curse,1983
829,The Hound of the Baskervilles,Arthur Conan Doyle,1901,The Hound of the Baskervilles,1983
830,The Hound of the Baskervilles,Arthur Conan Doyle,1901,The Hound of the Baskervilles,2000
831,The Hound of the Baskervilles,Arthur Conan Doyle,1901,The Hound of the Baskervilles,2002
832,The Hour Before the Dawn,W. Somerset Maugham,1942,The Hour Before the Dawn,1944
833,The Hours,Michael Cunningham,1998,The Hours,2002
834,The House of the Lost on the Cape, Sachiko Kashiwaba,2015,The House of the Lost on the Cape,2021
835,The House of the Spirits,Isabel Allende,1982,The House of the Spirits,1993
836,The House Without a Key,Earl Derr Biggers,1925,The House Without a Key,1926
837,The Housekeeper and the Professor,Yōko Ogawa,2003,The Professor's Beloved Equation,2006
838,How Green Was My Valley,Richard Llewellyn,1939,How Green Was My Valley,1941
839,Howards End,E. M. Forster,1910,Howards End,1992
840,The Howling,Gary Brandner,1977,The Howling,1981
841,The Howling,Gary Brandner,1977,Howling II: Stirba - Werewolf Bitch,1985
842,The Howling,Gary Brandner,1977,Howling III,1987
843,The Howling,Gary Brandner,1977,Howling IV: The Original Nightmare,1988
844,The Howling,Gary Brandner,1977,Howling V: The Rebirth,1990
845,The Howling,Gary Brandner,1977,Howling VI: The Freaks,1992
846,The Howling,Gary Brandner,1977,Howling: New Moon Rising,1994
847,The Howling,Gary Brandner,1977,The Howling: Reborn,2011
848,The Human Condition,Junpei Gomikawa,1958,No Greater Love,1959
849,The Human Condition,Junpei Gomikawa,1958,Road to Eternity,1959
850,The Human Condition,Junpei Gomikawa,1958,A Soldier's Prayer,1961
851,The Human Stain,Philip Roth,2000,The Human Stain,2003
852,The Hunchback of Notre-Dame,Victor Hugo,1482,Esmeralda,1905
853,The Hunchback of Notre-Dame,Victor Hugo,1482,The Hunchback of Notre Dame,1911
854,The Hunchback of Notre-Dame,Victor Hugo,1482,The Darling of Paris,1917
855,The Hunchback of Notre-Dame,Victor Hugo,1482,Esmeralda,1922
856,The Hunchback of Notre-Dame,Victor Hugo,1482,The Hunchback of Notre Dame,1923
857,The Hunchback of Notre-Dame,Victor Hugo,1482,The Hunchback of Notre Dame,1939
858,The Hunchback of Notre-Dame,Victor Hugo,1482,The Hunchback of Notre Dame,1956
859,The Hunchback of Notre-Dame,Victor Hugo,1482,The Hunchback of Notre Dame,1966
860,The Hunchback of Notre-Dame,Victor Hugo,1482,Kubra Aashiq,1973
861,The Hunchback of Notre-Dame,Victor Hugo,1482,The Hunchback of Notre Dame,1976
862,The Hunchback of Notre-Dame,Victor Hugo,1482,The Hunchback of Notre Dame,1982
863,The Hunchback of Notre-Dame,Victor Hugo,1482,The Hunchback of Notre Dame,1986
864,The Hunchback of Notre-Dame,Victor Hugo,1482,The Secret of the Hunchback,1996
865,The Hunchback of Notre-Dame,Victor Hugo,1482,The Hunchback of Notre Dame,1996
866,The Hunchback of Notre-Dame,Victor Hugo,1482,The Hunchback of Notre Dame,1996
867,The Hunchback of Notre-Dame,Victor Hugo,1482,The Hunchback of Notre Dame,1996
868,The Hunchback of Notre-Dame,Victor Hugo,1482,The Hunchback of Notre Dame,1996
869,The Hunchback of Notre-Dame,Victor Hugo,1482,The Hunchback,1997
870,The Hunchback of Notre-Dame,Victor Hugo,1482,Quasimodo d'El Paris,1999
871,The Hunchback of Notre-Dame,Victor Hugo,1482,The Hunchback of Notre Dame II,2002
872,The Hundred and One Dalmatians,Dodie Smith,1956,One Hundred and One Dalmatians,1961
873,The Hundred and One Dalmatians,Dodie Smith,1956,101 Dalmatians,1996
874,The Hundred and One Dalmatians,Dodie Smith,1956,102 Dalmatians,2000
875,The Hundred and One Dalmatians,Dodie Smith,1956,101 Dalmatians II: Patch's London Adventure,2003
876,The Hundred and One Dalmatians,Dodie Smith,1956,Cruella,2021
877,The Hunger Games,Suzanne Collins,2008–2010,The Hunger Games,2012
878,The Hunger Games,Suzanne Collins,2008–2010,The Hunger Games: Catching Fire,2013
879,The Hunger Games,Suzanne Collins,2008–2010,The Hunger Games: Mockingjay - Part 1,2014
880,The Hunger Games,Suzanne Collins,2008–2010,The Hunger Games: Mockingjay - Part 2,2015
881,The Hunger Games,Suzanne Collins,2008–2010,The Hunger Games: The Ballad of Songbirds & Snakes,2023
882,The Hunt for Red October,Tom Clancy,1984,The Hunt for Red October,1990
883,The Hunter,Donald E. Westlake[N 30],1962,Point Blank,1967
884,The Hunter,Donald E. Westlake[N 30],1962,Payback,1999
885,The Hunter,Donald E. Westlake[N 30],1962,Full Contact,2003
886,The Hustler,Walter Tevis,1959,The Hustler,1961
888,I Am Legend,Richard Matheson,1954,The Last Man on Earth,1964
889,I Am Legend,Richard Matheson,1954,The Omega Man,1971
890,I Am Legend,Richard Matheson,1954,I Am Legend,2007
891,I Am Legend,Richard Matheson,1954,I Am Ωmega,2007
892,I Am Number Four,Pittacus Lore,2010,I Am Number Four,2011
893,I Know What You Did Last Summer,Lois Duncan,1973,I Know What You Did Last Summer,1997
894,I Know What You Did Last Summer,Lois Duncan,1973,I Still Know What You Did Last Summer,2000
895,I Know What You Did Last Summer,Lois Duncan,1973,I'll Always Know What You Did Last Summer,2006
896,"I Love You, Beth Cooper",Larry Doyle,2007,"I Love You, Beth Cooper",2009
897,I Want to Eat Your Pancreas,Yoru Sumino,2014,Let Me Eat Your Pancreas,2017
898,I Want to Eat Your Pancreas,Yoru Sumino,2014,I Want to Eat Your Pancreas,2018
899,Ice Station Zebra,Alistair MacLean,1963,Ice Station Zebra,1968
900,If I Die Before I Wake, Sherwood King,1938,The Lady from Shanghai,1947
901,The IPCRESS File,Len Deighton,1962,The Ipcress File,1965
902,The Illustrated Man,Ray Bradbury,1951,The Illustrated Man,1968
903,I'm Thinking of Ending Things,Iain Reid,2016,I'm Thinking of Ending Things,2020
904,Imagining Argentina,Lawrence Thornton,1987,Imagining Argentina,2003
905,"Immortality, Inc.",Robert Sheckley,1959,Freejack,1992
906,An Imperfect Lover, Robert Gore-Browne,1928,Cynara,1932
907,In Country,Bobbie Ann Mason,1985,In Country,1989
908,The Incredible Journey,Sheila Burnford,1961,The Incredible Journey,1963
909,The Incredible Journey,Sheila Burnford,1961,Homeward Bound: The Incredible Journey,1993
910,The Incredible Journey,Sheila Burnford,1961,Homeward Bound II: Lost in San Francisco,1996
911,Incubus,Ray Russell,1976,The Incubus,1981
912,The Innocent,Ian McEwan,1990,The Innocent,1993
913,In Search of the Castaways,Jules Verne,1867–1868,The Children of Captain Grant,1936
914,In Search of the Castaways,Jules Verne,1867–1868,In Search of the Castaways,1962
915,Instruct My Sorrows,Clare Jaynes,1942,My Reputation,1946
916,Interview with the Vampire,Anne Rice,1976,Interview with the Vampire,1994
917,The Investigation,Dorothy Uhnak,1977,Kojak: The Price of Justice,1987
918,The Invisible Man,H. G. Wells,1897,The Invisible Man,1933
919,The Invisible Man,H. G. Wells,1897,The Invisible Man Returns,1940
920,The Invisible Man,H. G. Wells,1897,The Invisible Woman,1940
921,The Invisible Man,H. G. Wells,1897,Invisible Agent,1942
922,The Invisible Man,H. G. Wells,1897,The Invisible Man's Revenge,1944
923,The Invisible Man,H. G. Wells,1897,Abbott and Costello Meet the Invisible Man,1951
924,The Invisible Man,H. G. Wells,1897,The Invisible Man,1975
925,The Invisible Man,H. G. Wells,1897,The Invisible Man,1984
926,The Invisible Man,H. G. Wells,1897,The Invisible Man,2020
927,In the Heat of the Night,John Bell,1965,In the Heat of the Night,1967
928,In the Heat of the Night,John Bell,1965,They Call Me MISTER Tibbs!,1970
929,In the Heat of the Night,John Bell,1965,The Organization,1971
930,In This House of Brede,Rumer Godden,1969,In This House of Brede,1975
931,The Iron Trail,Rex Beach,1913,The Iron Trail,1921
932,Ironweed,William Kennedy,1983,Ironweed,1987
933,The Island,Peter Benchley,1979,The Island,1980
934,Island in the Sky,Ernest K. Gann,1944,Island in the Sky,1953
935,The Island of Doctor Moreau,H. G. Wells,1896,Island of Lost Souls,1932
936,The Island of Doctor Moreau,H. G. Wells,1896,Terror Is a Man,1959
937,The Island of Doctor Moreau,H. G. Wells,1896,The Island of Doctor Agor,1971
938,The Island of Doctor Moreau,H. G. Wells,1896,The Island of Dr. Moreau,1977
939,The Island of Doctor Moreau,H. G. Wells,1896,The Island of Dr. Moreau,1996
940,Islands in the Stream,Ernest Hemingway,1970,Islands in the Stream,1977
941,It,Stephen King,1986,It Chapter One,2017
942,It,Stephen King,1986,It Chapter Two,2019
943,It Can't Happen Here,Sinclair Lewis,1935,Shadow on the Land,1968
944,Ivanhoe,Sir Walter Scott,1820,Ivanhoe,1913
945,Ivanhoe,Sir Walter Scott,1820,Ivanhoe,1913
946,Ivanhoe,Sir Walter Scott,1820,Ivanhoe,1952
947,Ivanhoe,Sir Walter Scott,1820,Ivanhoe,1975
948,Ivanhoe,Sir Walter Scott,1820,Ivanhoe,1982
949,Ivanhoe,Sir Walter Scott,1820,The Ballad of the Valiant Knight Ivanhoe,1983
950,Ivanhoe,Sir Walter Scott,1820,Ivanhoe,1986
951,Ivanhoe,Sir Walter Scott,1820,The Legend of Ivanhoe,1999
953,Jack in the Box,William Kotzwinkle,1980,Book of Love,1990
954,Jack's Return Home,Ted Lewis,1970,Get Carter,1971
955,Jack's Return Home,Ted Lewis,1970,Hit Man,1972
956,Jack's Return Home,Ted Lewis,1970,Get Carter,2000
957,Jane Eyre,Charlotte Brontë[N 31],1847,Jane Eyre,1910
958,Jane Eyre,Charlotte Brontë[N 31],1847,Woman and Wife,1918
959,Jane Eyre,Charlotte Brontë[N 31],1847,Orphan of Lowood,1926
960,Jane Eyre,Charlotte Brontë[N 31],1847,Jane Eyre,1934
961,Jane Eyre,Charlotte Brontë[N 31],1847,I Walked with a Zombie,1943
962,Jane Eyre,Charlotte Brontë[N 31],1847,Jane Eyre,1943
963,Jane Eyre,Charlotte Brontë[N 31],1847,Sangdil,1952
964,Jane Eyre,Charlotte Brontë[N 31],1847,Bedi Bandavalu,1968
965,Jane Eyre,Charlotte Brontë[N 31],1847,Jane Eyre,1970
966,Jane Eyre,Charlotte Brontë[N 31],1847,Shanti Nilayam,1972
967,Jane Eyre,Charlotte Brontë[N 31],1847,Jane Eyre,1996
968,Jane Eyre,Charlotte Brontë[N 31],1847,Jane Eyre,1997
969,Jane Eyre,Charlotte Brontë[N 31],1847,Jane Eyre,2011
970,Japan Sinks,Sakyo Komatsu,1973,Submersion of Japan,1973
971,Japan Sinks,Sakyo Komatsu,1973,Sinking of Japan,2006
972,Jassy,Norah Lofts,1944,Jassy,1947
973,Jaws,Peter Benchley,1974,Jaws,1975
974,Jaws,Peter Benchley,1974,Jaws 2,1978
975,Jaws,Peter Benchley,1974,Jaws 3-D,1983
976,Jaws,Peter Benchley,1974,Jaws: The Revenge,1987
977,Jean le Bleu,Jean Giono,1932,The Baker's Wife,1938
978,The Jewel of Seven Stars,Bram Stoker,1903,Blood from the Mummy's Tomb,1971
979,The Jewel of Seven Stars,Bram Stoker,1903,The Awakening,1980
980,The Jewel of Seven Stars,Bram Stoker,1903,Bram Stoker's Legend of the Mummy,1997
981,Jim Kane, Joseph P. Brown,1970,Pocket Money,1972
982,Jimmy the Kid,Donald E. Westlake[N 30],1967,Come ti rapisco il pupo,1976
983,Jimmy the Kid,Donald E. Westlake[N 30],1967,Jimmy the Kid,1982
984,Jimmy the Kid,Donald E. Westlake[N 30],1967,Jimmy the Kid,1998
985,Jitter Joint,Howard Swindle,1999,D-Tox,2002
986,Johnny Tremain,Esther Forbes,1944,Johnny Tremain,1957
987,Joker Game,Koji Yanagi,2008,Joker Game,2015
988,Josepha,Christopher Frank,1981,Josepha,1982
989,A Journey to Matecumbe,Robert Lewis Taylor,1961,Treasure of Matecumbe,1976
990,Journey to Shiloh,Henry Wilson Allen,1960,Journey to Shiloh,1968
991,Journey to the Center of the Earth,Jules Verne,1864,Journey to the Center of the Earth,1959
992,Journey to the Center of the Earth,Jules Verne,1864,A Journey to the Center of the Earth,1977
993,Journey to the Center of the Earth,Jules Verne,1864,Where Time Began,1978
994,Journey to the Center of the Earth,Jules Verne,1864,Journey to the Center of the Earth,1989
995,Journey to the Center of the Earth,Jules Verne,1864,Journey to the Center of the Earth,1993
996,Journey to the Center of the Earth,Jules Verne,1864,Journey to the Center of the Earth,2008
997,Journey to the Center of the Earth,Jules Verne,1864,Journey to the Center of the Earth,2008
998,Journey to the Center of the Earth,Jules Verne,1864,Journey to the Center of the Earth,2008
999,Journey to the West,Wu Cheng'en,1592,The Cave of the Silken Web,1927
1000,Journey to the West,Wu Cheng'en,1592,The Cave of the Silken Web II,1930
1001,Journey to the West,Wu Cheng'en,1592,Princess Iron Fan,1941
1002,Journey to the West,Wu Cheng'en,1592,Red Boy,1949
1003,Journey to the West,Wu Cheng'en,1592,The Big Fight Between Red Kid and Five Dragon Princess,1949
1004,Journey to the West,Wu Cheng'en,1592,Red Kid and Monkey King,1957
1005,Journey to the West,Wu Cheng'en,1592,How Red Kid Rescued His Mother from the Crystal Palace,1959
1006,Journey to the West,Wu Cheng'en,1592,Monkey Sun,1959
1007,Journey to the West,Wu Cheng'en,1592,Alakazam the Great,1960
1008,Journey to the West,Wu Cheng'en,1592,Havoc in Heaven,1961
1009,Journey to the West,Wu Cheng'en,1592,Red Boy,1962
1010,Journey to the West,Wu Cheng'en,1592,Monkey Goes West,1966
1011,Journey to the West,Wu Cheng'en,1592,Princess Iron Fan,1966
1012,Journey to the West,Wu Cheng'en,1592,The Cave of the Silken Web,1967
1013,Journey to the West,Wu Cheng'en,1592,The Land of Many Perfumes,1968
1014,Journey to the West,Wu Cheng'en,1592,Battles with the Red Boy,1972
1015,Journey to the West,Wu Cheng'en,1592,The Fantastic Magic Baby,1975
1016,Journey to the West,Wu Cheng'en,1592,Monkey King with 72 Magic,1976
1017,Journey to the West,Wu Cheng'en,1592,Ginseng Fruit,1981
1018,Journey to the West,Wu Cheng'en,1592,New Pilgrims to the West,1982
1019,Journey to the West,Wu Cheng'en,1592,Monkey War,1982
1020,Journey to the West,Wu Cheng'en,1592,The Monkey King Conquers the Demon,1985
1021,Journey to the West,Wu Cheng'en,1592,Go West to Subdue Demons,1992
1022,Journey to the West,Wu Cheng'en,1592,A Chinese Odyssey Part One: Pandora's Box,1995
1023,Journey to the West,Wu Cheng'en,1592,A Chinese Odyssey Part Two: Cinderella,1995
1024,Journey to the West,Wu Cheng'en,1592,Heavenly Legend,1998
1025,Journey to the West,Wu Cheng'en,1592,My Son Goku,2003
1026,Journey to the West,Wu Cheng'en,1592,A Chinese Tall Story,2005
1027,Journey to the West,Wu Cheng'en,1592,Fire Ball,2005
1028,Journey to the West,Wu Cheng'en,1592,Monkey King vs. Er Lang Shen,2007
1029,Journey to the West,Wu Cheng'en,1592,Monkey Magic: The Movie,2007
1030,Journey to the West,Wu Cheng'en,1592,The Forbidden Kingdom,2008
1031,Journey to the West,Wu Cheng'en,1592,Journey to the West: Conquering the Demons,2013
1032,Journey to the West,Wu Cheng'en,1592,The Monkey King,2014
1033,Journey to the West,Wu Cheng'en,1592,Monkey King: Hero Is Back,2015
1034,Journey to the West,Wu Cheng'en,1592,The Monkey King 2,2016
1035,Journey to the West,Wu Cheng'en,1592,A Chinese Odyssey Part Three,2016
1036,Journey to the West,Wu Cheng'en,1592,Journey to the West: The Demons Strike Back,2017
1037,Journey to the West,Wu Cheng'en,1592,The Monkey King 3,2018
1038,Journey to the West,Wu Cheng'en,1592,The Monkey King,2023
1039,Journey Under the Midnight Sun,Keigo Higashino,1999,White Night,2009
1040,Journey Under the Midnight Sun,Keigo Higashino,1999,Into the White Night,2010
1041,The Joy Luck Club,Amy Tan,1989,The Joy Luck Club,1993
1042,Jude the Obscure,Thomas Hardy,1895,Jude,1996
1043,The Judgment,Chart Korbjitti,1981,Ai-Fak,2004
1044,A Judgement in Stone,Ruth Rendell,1977,La Cérémonie,1995
1045,The Juggler,Donald E. Westlake[N 30],1965,Made in U.S.A.,1966
1046,The Jungle,Upton Sinclair,1906,The Jungle,1914
1047,The Jungle Books,Rudyard Kipling,1894–1895,Elephant Boy,1937
1048,The Jungle Books,Rudyard Kipling,1894–1895,Rudyard Kipling's Jungle Book,1942
1049,The Jungle Books,Rudyard Kipling,1894–1895,The Jungle Book,1967
1050,The Jungle Books,Rudyard Kipling,1894–1895,Adventures of Mowgli,1973
1051,The Jungle Books,Rudyard Kipling,1894–1895,The Jungle Book,1992
1052,The Jungle Books,Rudyard Kipling,1894–1895,Rudyard Kipling's The Jungle Book,1994
1053,The Jungle Books,Rudyard Kipling,1894–1895,Jungle Book,1995
1054,The Jungle Books,Rudyard Kipling,1894–1895,The Second Jungle Book: Mowgli & Baloo,1997
1055,The Jungle Books,Rudyard Kipling,1894–1895,Jungle Book: Mowgli's Story,1998
1056,The Jungle Books,Rudyard Kipling,1894–1895,The Jungle Book 2,2003
1057,The Jungle Books,Rudyard Kipling,1894–1895,The Jungle Book,2016
1058,The Jungle Books,Rudyard Kipling,1894–1895,Mowgli: Legend of the Jungle,2018
1059,Jungle Girl,Edgar Rice Burroughs,1932,Jungle Girl,1941
1060,Jungle Girl,Edgar Rice Burroughs,1932,Perils of Nyoka,1942
1061,Jupiter Laughs,A. J. Cronin,1940,Shining Victory,1941
1062,Jurassic Park,Michael Crichton,1990,Jurassic Park,1993
1063,Jurassic Park,Michael Crichton,1990,The Lost World: Jurassic Park,1997
1064,Jurassic Park,Michael Crichton,1990,Jurassic Park III,2001
1065,Jurassic Park,Michael Crichton,1990,Jurassic World,2015
1066,Jurassic Park,Michael Crichton,1990,Jurassic World: Fallen Kingdom,2018
1067,Jurassic Park,Michael Crichton,1990,Jurassic World Dominion,2022
1068,Justine,Lawrence Durrell,1957,Justine,1969
